"id","title","kind","category","entry_chars","wikipedia_source_count","wikipedia_titles","coverage_score","title_match_score","needs_rewrite","review_status","source_errors","wikipedia_urls"
"ma-ribbon","Moving Average Ribbon","İndikatör","Trend","6114","2","Moving average | Technical indicator","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"new-high-low","New Highs / New Lows","İndikatör","Piyasa Genişliği","6067","3","Moving average | Technical analysis | Technical indicator","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"nvi-pvi","NVI / PVI","İndikatör","Hacim","6263","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","32,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"obv","OBV — On Balance Volume","İndikatör","Hacim","5829","2","On-balance volume | Technical indicator","15","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"oco-order","OCO Order","Emir Tipi","Risk / Emir","2580","3","Order (exchange) | Technical analysis | Trading strategy","10","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Order_(exchange) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"ohlc","OHLC","Piyasa Verisi","Grafik / Veri","2242","3","Open-high-low-close chart | Technical analysis | Trading strategy","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Open-high-low-close_chart https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"options","Options","Piyasa","Türev Ürün","2181","3","Option (finance) | Technical analysis | Trading strategy","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Option_(finance) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"order-book","Order Book","Kavram","","2940","1","Order book","21,1","100","False","pass","","https://en.wikipedia.org/wiki/Order_book"
"order-flow","Order Flow","Kavram","","3934","2","Order book | Slippage (finance)","17,1","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Order_book https://en.wikipedia.org/wiki/Slippage_(finance)"
"overfitting","Overfitting","Kavram","","3931","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"psar","Parabolic SAR","İndikatör","Risk / Volatilite","4778","2","Average directional movement index | Parabolic SAR","25","100","False","pass","","https://en.wikipedia.org/wiki/Average_directional_movement_index https://en.wikipedia.org/wiki/Parabolic_SAR"
"pivot-points","Pivot Points","İndikatör","Trend / Seviye","5151","2","Pivot point (technical analysis) | Support and resistance","22,5","50","False","pass","","https://en.wikipedia.org/wiki/Pivot_point_(technical_analysis) https://en.wikipedia.org/wiki/Support_and_resistance"
"piyasa-rejimi","Piyasa Rejimi","Kavram","","4301","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"poc-vah-val","POC / VAH / VAL","İndikatör","Hacim","6373","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"position-trading","Position Trading","Trading Stili","Zaman Dilimi","2311","2","Technical analysis | Trading strategy","15","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"position-sizing","Pozisyon Boyutu","Kavram","","4238","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
